latitude,longitude,temperature,humidity
50.433,2.8279,21.27,99.35
39.3,-7.7333,12.06,76.98
34.0606,-118.3027,16.84,102.95
5.2004,7.98475,18.95,86.9
59.2741,15.2066,22.24,84.71
19.68925,-72.01422,29.49,79.8
-29.1283,19.39492,25.23,26.98
50.8664,39.07562,19.67,89.04
54.34241,101.50917,20.97,105.29
49.40677,14.81122,24.01,70.45
35.34167,33.31667,27.89,93.38
30.58361,113.64934,24.89,82.19
55.1904,30.2049,28.32,105.51
53.62022,37.59026,19.56,79.66
10.8849,121.9769,23.62,65.36
31.0772,118.35874,25.84,56.8
33.76757,113.98567,20.22,111.22
-7.7339,108.3352,31.58,84.44
40.43944,113.15361,25.28,58.99
35.24762,136.97229,15.98,84.35
2.2057,102.2562,15.41,83.29
38.16667,21.66667,19.46,108.63
23.20712,107.6509,8.82,73.03
45.3,126.9,29.28,92.29
21.53379,110.72322,30.11,104.8
10.38707,123.3381,19.77,97.97
37.46583,121.14313,17.76,66.43
52.9311,158.40469,21.47,95.63
13.3622,100.98345,16.21,93.77
25.05823,-77.34306,20.83,78.33
-26.34066,-60.43207,33.01,79.17
34.82022,138.12775,15.22,72.94
48.49677,23.28992,20.58,100.03
-22.91944,-42.81861,19.17,64.24
58.4245,14.1616,21.78,79.06
46.91667,92.11667,9.41,91.33
55.6759,12.5655,18.62,48.18
41.55,-8.2667,17.26,69.84
11.1544,123.8058,21.77,93.63
36.01839,139.66034,19.32,95.44
-8.1968,113.6374,19.48,84.42
-23.21778,-44.71306,10,100.41
49.36391,14.57868,15.33,87.68
22.63333,110.15,9.2,88.72
43.07121,46.56679,16.4,67.38
27.2792,-101.4546,15.65,84.87
33.30637,105.46936,12.75,76.94
7.20417,124.43972,35.56,85.62
5.3117,103.1199,25.33,73.91
14.06442,101.51503,18.37,73.5
-9.91333,-63.04083,20.01,63.77
,,16.28,63.45
30.77967,108.45506,10.77,88.64
-19.41361,-42.41944,22.16,75.82
26.0143,-81.5856,17.05,83.53
59.3326,18.0649,19.89,111.91
38.71528,112.7575,16.84,85.65
15.8466,120.3269,12.23,82.52
50.82969,19.28547,25.18,81.97
-7.06936,-76.71484,20.28,57.94
