thing,ts,prop_brhum,prop_lrlight,prop_offlight,prop_lrtemp,prop_offhum,prop_offtemp,prop_brlight,prop_brtemp,prop_lrhum,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homehvac,1.422661917674E9,45.0,0.8,6.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663718274E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.42266293814E9,45.0,14.5,0.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663295632E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663598141E9,45.0,14.5,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662758251E9,45.0,14.5,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422659758171E9,45.0,0.8,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422664078645E9,45.0,14.5,3.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.42266008864E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663478667E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662815642E9,45.0,14.5,9.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662515138E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422660478656E9,45.0,0.8,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.42266263814E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661137662E9,45.0,0.8,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422659818146E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422660598139E9,45.0,0.8,5.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661255148E9,45.0,0.8,6.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662578137E9,45.0,14.5,3.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661318142E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663897647E9,45.0,14.5,9.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662487158E9,45.0,14.5,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663115899E9,45.0,14.5,7.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422660718642E9,45.0,0.8,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422662314211E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422660417792E9,45.0,0.8,6.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422664258643E9,45.0,14.5,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661978141E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663418638E9,45.0,14.5,3.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663837647E9,45.0,14.5,0.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422664135148E9,45.0,14.5,8.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422663235648E9,45.0,14.5,1.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661077659E9,45.0,0.8,5.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.422661578141E9,45.0,0.8,2.0,77.0,43.0,75.0,57.0,69.699997,49.599998,null,null,null,null,null,null,null,null,null,null,null,null
homehvac,1.420029386781E9,44.0,1.1,8.0,77.5,42.0,75.199997,0.0,74.0,49.400002,null,null,null,null,null,null,null,null,null,null,null,null
