thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.42352250171E9,null,null,null,0.0,5.0,4334.0,253.0,430.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522902691E9,null,null,null,0.0,3.0,773.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524583693E9,null,null,null,0.0,325.0,968.0,284.0,352.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523421692E9,null,null,null,0.0,3.0,711.0,253.0,343.0,82.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523441692E9,null,null,null,0.0,3.0,607.0,253.0,343.0,4.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524201697E9,null,null,null,0.0,634.0,1018.0,284.0,381.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522082202E9,null,null,null,0.0,238.0,630.0,253.0,315.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524621699E9,null,null,null,0.0,3.0,698.0,284.0,352.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523483692E9,null,null,null,0.0,3.0,716.0,253.0,460.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.42352308169E9,null,null,null,0.0,3.0,711.0,253.0,400.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522881691E9,null,null,null,4315.0,5.0,4878.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524487389E9,null,null,null,0.0,2020.0,2606.0,284.0,287.0,8.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524601693E9,null,null,null,0.0,234.0,852.0,284.0,352.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522082206E9,null,null,null,0.0,3.0,630.0,253.0,315.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522064204E9,null,null,null,0.0,238.0,806.0,253.0,315.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524561693E9,null,null,null,0.0,1944.0,2511.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522062204E9,null,null,null,0.0,238.0,806.0,253.0,371.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523863691E9,null,null,null,0.0,3.0,642.0,253.0,381.0,8.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524201698E9,null,null,null,0.0,634.0,1018.0,284.0,381.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524241693E9,null,null,null,0.0,2020.0,2606.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522901698E9,null,null,null,4092.0,3.0,773.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524241693E9,null,null,null,0.0,2020.0,2606.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524161692E9,null,null,null,0.0,3.0,642.0,284.0,381.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522344382E9,null,null,null,0.0,3.0,764.0,253.0,430.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
