thing,ts,prop_odometer,prop_rpm,prop_speed,prop_speed_limit_delta,prop_tripmiles,prop_fuelecon,prop_fuellevel,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_vin,attr_fueltank,attr_m2x_deviceid,attr_phoneno
352054052517829,1.425235559317E9,2707.0,728.0,2.0,-25.0,4.0,24.0,72.4,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425234997738E9,2704.0,1810.0,33.0,-12.0,4.0,16.0,67.7,26.36886,-80.13802,272.0,33.0,,,6019 Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425234597987E9,2702.0,718.0,0.0,0.0,4.0,0.0,76.0,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234898414E9,2703.0,995.0,31.0,-14.0,4.0,13.0,70.7,26.36872,-80.13447,274.0,31.0,,,2475 Glades Rd,Boca Raton,FL,33431-7256,US,null,14.5,null,null
352054052517829,1.425235349187E9,2706.0,1444.0,40.0,-12.0,4.0,21.0,66.4,26.36805,-80.17059,269.9,33.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425235648089E9,2707.0,741.0,0.0,-25.0,4.0,23.0,70.7,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425235858251E9,2707.0,755.0,0.0,-25.0,4.0,21.0,70.6,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425234597987E9,2702.0,718.0,0.0,0.0,4.0,0.0,76.0,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234568013E9,2702.0,718.0,0.0,0.0,4.0,0.0,76.0,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425235168136E9,2705.0,1821.0,33.0,-8.0,4.0,21.0,64.5,26.36875,-80.15949,269.8,33.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425234657912E9,2702.0,670.0,0.0,0.0,4.0,1.0,76.9,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234658195E9,2702.0,670.0,0.0,0.0,4.0,1.0,77.3,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234447929E9,2702.0,878.0,0.0,0.0,4.0,0.0,75.3,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234418141E9,2702.0,878.0,0.0,0.0,4.0,0.0,75.3,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.42523522813E9,2706.0,1246.0,0.0,-2.0,4.0,21.0,72.7,26.36803,-80.16886,0.0,0.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425234478554E9,2702.0,776.0,0.0,0.0,4.0,0.0,75.6,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425235318107E9,2706.0,658.0,0.0,-2.0,4.0,22.0,73.2,26.36803,-80.16886,0.0,0.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425234538155E9,2702.0,765.0,0.0,0.0,4.0,0.0,75.2,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425234478199E9,2702.0,806.0,0.0,0.0,4.0,0.0,75.3,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
359138032653805,1.425234079783E9,3161.0,0.0,0.0,-11.0,2.0,0.0,null,26.47152,-81.77293,0.0,0.0,,,18630 Verona Lago Dr,Miromar Lakes,FL,33913-8901,US,0,15,null,null
352054052517829,1.425234718192E9,2702.0,1393.0,19.0,-26.0,4.0,3.0,68.5,26.3675,-80.11478,6.1,16.0,,,Glades Rd,Boca Raton,FL,33431,US,null,14.5,null,null
352054052517829,1.42523483809E9,2703.0,1899.0,33.0,-12.0,4.0,10.0,77.2,26.36825,-80.12569,270.2,33.0,,,2263 Glades Rd,Boca Raton,FL,33431-7313,US,null,14.5,null,null
352054052517829,1.425235378272E9,2706.0,1685.0,41.0,-4.0,4.0,22.0,71.2,26.36802,-80.18,270.0,41.0,,,8525 Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.42523519801E9,2705.0,1246.0,43.0,-12.0,4.0,20.0,64.5,26.36875,-80.15949,269.8,33.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425235618298E9,2707.0,747.0,0.0,-25.0,4.0,23.0,69.9,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425235168129E9,2705.0,1821.0,33.0,-12.0,4.0,20.0,64.5,26.36875,-80.15949,269.8,33.0,,,Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425235378294E9,2706.0,1685.0,41.0,-5.0,4.0,22.0,71.2,26.36802,-80.18,270.0,41.0,,,8525 Glades Rd,Boca Raton,FL,33434,US,null,14.5,null,null
352054052517829,1.425234387888E9,2702.0,973.0,0.0,0.0,4.0,0.0,75.2,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425235918167E9,2707.0,794.0,0.0,-25.0,4.0,21.0,70.4,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425234567974E9,2702.0,718.0,0.0,0.0,4.0,0.0,76.0,26.36654,-80.11475,0.0,0.0,,,1696 NW 15th Ave,Boca Raton,FL,33486-1139,US,null,14.5,null,null
352054052517829,1.425235828126E9,2707.0,749.0,0.0,-25.0,4.0,22.0,70.5,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425235438066E9,2707.0,1016.0,36.0,-31.0,4.0,24.0,66.0,26.368,-80.1878,269.9,36.0,,,9033 Glades Rd,Boca Raton,FL,33434-3901,US,null,14.5,null,null
352054052517829,1.425234718527E9,2702.0,1741.0,19.0,-26.0,4.0,3.0,68.5,26.3675,-80.11478,6.1,16.0,,,Glades Rd,Boca Raton,FL,33431,US,null,14.5,null,null
352054052517829,1.425235618371E9,2707.0,747.0,0.0,-25.0,4.0,23.0,70.5,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425234928048E9,2704.0,659.0,0.0,-14.0,4.0,16.0,70.7,26.36872,-80.13447,274.0,31.0,,,2475 Glades Rd,Boca Raton,FL,33431-7256,US,null,14.5,null,null
352054052517829,1.425235768196E9,2707.0,749.0,0.0,-25.0,4.0,22.0,70.7,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
352054052517829,1.425235618335E9,2707.0,747.0,0.0,-25.0,4.0,23.0,70.5,26.36768,-80.1929,187.9,2.0,,,20807 Boca Ridge Dr W,Boca Raton,FL,33428,US,null,14.5,null,null
